Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Břehy,53501,,964,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,27/6/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Břehy,53501,,964,4/2011,"o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",1/2/2011,x,,,,,,,,,100 m od vybraných budov;,
Břest,76823,,933,1/2016,o regulaci provozování loterií a jiných podobných her,16/2/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Bučovice,68501,,6514,1/2012,"o stanovení míst, kde je povoleno provozování loterií a jiných podobných her",19/4/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Budišov nad Budišovkou,74787,,3150,1/2011,o regulaci provozování loterií a jiných podobných her,1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území + zrušuje se OZV 4/2008;,
Bujanov,38241,,581,2/2011,"o stanovení míst, kde je provozování některých sázkových her povoleno",1/1/2012,x,,,x,,x,,,,zákaz na celém území;,
Bukovany,69631,,,1/2015,"o zákazu provozování výherních hracích přístrojů, interaktivních videoloterních terminálů, lokálních loterních systému a jiných podobných her",1/6/2015,x,,,x,,,,,,zákaz na celém území obce,
Bystřice,73995,,5252,4/1998,o provozování výherních hracích přístrojů,1/1/1999,x,,,,,,,,,seznam zakázaných adres + 100 m;,
Bystřice nad Pernštejnem,59301,,8617,1/2012,"o stanovení míst, na kterých je provozování některých sázkových her a loterií zakázáno",12/4/2012,x,x,x,x,x,x,x,x,,zákaz na všech veřejně přístupných místech;,
Bystřice nad Pernštejnem,59301,,8617,7/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",15/12/2011,x,x,x,x,x,x,x,x,lze od 21:00 do 05:00 (platí pro dříve povolené),zákaz na všech veřejně přístupných místech;,
Cítoliby,43902,,,3/2015,o regulaci provozování loterií a jiných podobných her,1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Ctidružice,67154,,320,1/2009,"O stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje",29/5/2009,x,,,,,,,,lze od 10:00 do 24:00,seznam povolených adres;,
Čáslav,28601,,10150,1/2015,o regulaci provozování loterií a jiných podobných her,11/11/2015,x,x,x,x,x,x,x,x,od 16:00 do 20:00 hod,seznam povolených adres,
Čeladná,73912,,2423,1/2010,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",8/4/2010,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Čelákovice,25088,,11629,1/2015,"o stanovení míst, na kterých mohou být provozovány loterie a jiné podobné hry",1/10/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Černošice,25228,,,1/2016,o regulaci provozování loterií a jiných podobných her,1/1/2018,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Černošín,34901,,1196,1/2006,"o stanovení vzdálenosti provozování výherních hracích přístrojů od škol, školských zařízení, zařízení sociální a zdravotní péče, budov státních orgánů a církví",4/8/2006,x,,,,,,,,,10 m od chráněných budov;,
Černotín,75368,,,1/2013,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Červená Voda,56161,,3264,2/2012,"o zákazu provozování některých sázkových her, loterií a jiných podobných her na území obce Červená Voda",4/10/2013,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Česká Bělá,58261,,,1/2014,o zákazu provozování loterií a jiných podobných her na území městyse Česká Bělá ,9/7/2014,x,x,x,x,,x,x,x,,zákaz na celém území obce,
Česká Kamenice,40721,,5473,3/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",14/12/2011,x,x,x,x,x,x,x,x,,seznam zakázanýczh adres;,
Česká Kubice,34401,,632,5/2012,"kterou se stanoví čas a místa, na kterých lze provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",19/12/2012,x,,x,x,x,x,x,x,,"seznam povolených adres, od účinnosti ruší vyhlášky 1/2008, 3/2008 a 1/2011;",
Česká Lípa,47001,,37510,2/2015,"o stanovení míst, na kterých mohou být provozovány některé sázkové hry, loterie a jiné podobné hry",12/3/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Česká Skalice,55203,,,1/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
České Budějovice,37001,,93883,5/2011,"o omezení provozní doby některých sázkových her, loterií a jiných podobných her a o dalších souvisejících opatřeních",16/12/2011,x,x,x,x,x,x,x,x,"8:00-14:00 do 100m dle §17 odst. 11, v ostat. 6 - 22:00 h.",platí pro povolené hry do ukončení doby platnosti povolení;,
České Budějovice,37001,,93883,4/2011,"o zákazu provozování některých sázkových her, loterií a jiných podobných her",16/12/2011,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
České Velenice,37810,,3543,3/2015,o regulaci provozování loterií a jiných podobných her,31/12/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Český Krumlov,38101,,13600,1/2014,"kterou se mění obecně závazná vyhláška č. 3/2011 o stanovení míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno, ve znění obecně závazné vyhlášky č. 1/2013",1/11/2014,x,x,,x,,x,x,x,,"Mění OZV č. 3/2011, ve znění OZV č. 1/2013Přidává zakázanou adresu - objekt č. p. 27 na st. p. č. 756/2",
Český Krumlov,38101,,13600,1/2013,"kterou se mění obecně závazná vyhláška č. 3/2011  o stanovení míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",1/7/2013,x,x,,x,,x,x,x,,do objektu 82 již nelze povolovat CLS!;,
Český Krumlov,38101,,13600,3/2011,"o stanovení míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",30/12/2011,x,x,,x,,x,x,x,,"povoleno pouze v čp. 82, jinak zákaz na celém území města;",
Český Šternberk,25726,,149,7/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území městyse,1/9/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
