Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Jince,26223,,,1/2016,"o zákazu provozování výherních hracích přístrojů, loterií a jiných podobných her",1/1/2017,x,x,x,x,x,x,x,x,,zákaz na celém území,
Jindřichův Hradec,37701,,22036,1/2012,"kterou se mění a doplňuje vyhláška č. 4/2011 ostanovení míst a času, ve kterém je provozování některých sázkových her zakázáno",19/1/2012,x,,x,x,,x,,,"""po-čt + ne od 6:00 - 22:00; pá a so od 6:00 do 24:00""",stanovení časů platí pro místa kde je zakázáno pro dříve povolené hry;,
Jindřichův Hradec,37701,,22036,4/2011,"o stanovení míst a času, ve kterém je provozování některých sázkových her zakázáno",24/11/2011,x,,x,x,,x,,,"""po-čt + ne od 6:00 do 22:00; pá a so od 6:00 do 24:00""",seznam zakázaných adres + 100 m od škol;,
Jirkov,43111,,20473,12/2013,"o stanovení veřejně přístupných míst, na kterých lze provozovat loterie a jiné podobné hry",1/1/2014,x,x,x,x,x,x,x,x,bez omezení,"jediná povolená adresa , zrušuje se OZV 8/2011.;",
Jiřetín pod Jedlovou,40756,,638,1/2013,"o regulavi provozování sázkových her, loterií a jiných podobných her",20/6/2013,x,x,x,x,x,x,x,x,,zákaz na celém  území;,
Jiříkov,40753,,4096,2/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Jiříkovice,66451,,,1/2016,o regulaci provozování loterií a jiných podobných her,4/3/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Jitkov,58301,,,7/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,15/1/2014,x,x,x,x,,x,x,x,,zákaz na celém území; nereguluje §2 písm. m),
Kadaň,43201,,18147,5/2014,"o zákazu provozování sázkových her, loterií a jiných podobných her",12/7/2014,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Kamenice,25168,,4043,2/2013,"jíž se zakazuje provozování sázkových her, loterií a jiných podobných her",1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Kaplice,38241,,7362,3/2011,o zákazu provozování některých sázkových her,28/12/2011,x,,,x,,x,,,,"zákaz provozování na celém území města, ve všech jeho částech;",
Karlov,59101,,,1/2016,o regulaci provozování loterií a jiných podobných her,9/7/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Karlovy Vary,36001,,53737,1/2015,"kterou se mění a doplňuje obecně závazná vyhláška č. 6/2013, o stanovení míst a času, ve kterém mohou být provozovány sázkové hry, loterie a jiné podobné hry",11/2/2015,x,,x,x,x,x,,x,,"vypouští adresy Raisova č.p, 1123 a Sokolovská č.p. 407 z přílohy OZV č. 6/2013",
Karlovy Vary,36001,,53737,6/2013,"o stanovení míst a času, ve kterém mohou být provozovány sázkové hry, loterie a jiné podobné hry",1/7/2013,x,,x,x,x,x,,x,,"seznam povolených adres, zrušují se  OZV č. 4/2009, č. 3/2010, č. 4/2010 a 7/2010;",
Karviná,73301,,59627,6/2015,kterou se mění Obecně závazná vyhláška č. 10/2012 k zabezpečení záležitostí veřejného pořádku v oblasti omezení hazardu,1/1/2016,x,x,x,x,x,x,x,x,,změna v seznamu povolených adres,
Karviná,73301,,59627,10/2013,kterou se mění obecně závazná vyhláška č. 10/2012 k zabezpečení záležitosti veřejného pořádku v oblastiomezení hazardu,1/1/2014,x,x,x,x,x,x,x,x,,změna seznamu povolených adres;,
Karviná,73301,,59627,3/2013,kterou se mění Obecně závazná vyhláška č.10/2012 k zabezpečení záležitostíveřejného pořádku v oblasti omezení hazardu,15/5/2013,x,x,x,x,x,x,x,x,,změna seznamu povolených adres v OZV10/2012,
Karviná,73301,,59627,10/2012,k zabezpečení veřejného pořádku v oblasti omezení hazardu,1/1/2013,x,x,x,x,x,x,x,x,,"seznam povolených adres, ruší se OZV 3/2012;",
Kašperské Hory,34192,,1483,2/2012,"o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Kelč,75643,,2688,1/2008,"o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",2/7/2008,x,,,,,,,,,nelze do 50 m od budovy ZŠ;,
Kelčany,69649,,,2/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,15/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Kladno,27201,,69178,52/15,"o zrušení obecně závazné vyhlášky Statutárního města Kladna č. 51/2014, kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území",1/1/2016,,,,,,,,,,zrušuje OZV č. 51/2014,
Kladno,27201,,69178,46/13,o určení míst pro provozování videoloterních terminálů dle §2 písm. l) zákona č. 202/1990 o loteriích a jiných podobných hrách ve znění pozdějších předpisů na území města Kladna,6/5/2013,,,,x,,,,,,"seznam povolených adres, ruší se OZV 46/12/01;",
Kladno,27201,,69178,44/13,o určení míst pro provozování výherních hracích přístrojů na území města Kladna,6/5/2013,x,,,,,,,,,"seznam povolených adres, ruší se OZV 44/12/01;",
Klatovy,33901,,22567,1/2012,"o stanovení veřejně přístupných míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",23/2/2012,x,x,x,x,x,x,x,x,,zákaz provoz. sázk. her na celém území (rozšířeno o další písm.);,
Klínec,25210,,526,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na území celé obce,13/5/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Klíny,43601,,,1/2014,"o regulaci provozování sázkových her, loterií a jiných podobných her",20/2/2014,x,x,x,x,x,x,x,x,,zákaz na celém území,
Kněžmost,29402,,1837,1/2009,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje",3/1/2009,x,,,,,,,,,seznam povolených adres;,
Kobeřice,74727,,3239,2/2016,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/9/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Kobeřice,74727,,3239,2/2011,"o stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje nebo jiné technické zařízení povolené Ministerstvem financí podle jiného právního předpisu",12/10/2011,x,x,x,x,x,x,x,x,lze od 16:00 do 24:00,seznam povolených adres (2 povolené adresy ); zrušuje se  OZV č.2/2009,
Kobylí,69110,,,1/2016,o regulaci provozování loterií a jiných podobných her,22/3/2016,x,x,x,x,,x,x,x,,zákaz na celém území obce,
Kobylnice,66451,,892,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Kobylnice,15/10/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Kocbeře,54464,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,28/3/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce; přechodňák do 31.12.2014;,
Kohoutov,54401,,,4/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2014,x,x,x,x,x,x,x,x,,Zákaz na celém území,
Kojetín,75201,,6477,2/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",1/5/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města; přechodné ustanovení pouze pro VHP;,
Kolín,28002,,31207,9/2015,o regulaci provozování loterií a jiných podobných her,1/1/2017,x,x,x,x,,x,x,x,,zákaz na celém území města,
Kolín,28002,,31207,3/2013,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",18/9/2013,x,,,x,,x,,,,doplnění článku 4 OZV;,
Kolín,28002,,31207,1/2013,"kterou se mění obecně závazná vyhláška č. 12/2011 ve znění vyhlášky 1/2012 o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",13/4/2013,x,,,x,,x,,,,doplnění čl. 3 OZV 12/2011 ve znění 1/2012;,
Kolín,28002,,31207,1/2012,"o doplnění a změně OZV 12/2011 o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",21/2/2012,x,,,x,,x,,,,rozšíření zákazu na další adresy;,
Kolín,28002,,31207,12/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních heacích přístrojů zakázáno",29/11/2011,x,,,x,,x,,,,seznam zakázaných adres;,
Kolinec,34142,,1431,182013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém správním území městyse,3/1/2014,x,,,,,,,,-,"zákaz na celém území, zrušuje se OZV 2/2012",
Komorní Lhotka,73953,,,2/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,30/4/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Kopřivnice,74221,,22899,1/2013,"kterou se mění a doplňuje obecně závazná vyhláška č. 2/2011 o stanovení míst a času, ve kterém mohou být provozovány sázkové hry pomocí technických přístrojů",1/4/2013,x,x,x,x,x,x,x,x,,novalizuje vyhlášku 2/2011 - doplnění přechodného ustanovení;,
Kopřivnice,74221,,22899,2/2011,"o stanovení míst a času, ve kterém mohou být provozovány sázkové hry pomocí technických zařízení",1/1/2012,x,x,x,x,x,x,x,x,lze od 17:00 do 01:00 hod. násl. dne,"kasina, restaurace, herny - seznam povolených adres;",
Korozluky,43401,,119,1/2013,"o regulaci provozování sázkových her, loterií a jiných podobných her",21/5/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Koryčany,76805,,2889,3/2016,o regulaci provozování loterií a jiných podobných her,22/7/2016,x,x,x,x,x,x,x,x,povoleno od 17:00 hodin do 02:00 hodin,seznam povolených adres,
Kořenov,46849,,,1/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na území obce Kořenov",13/2/2012,x,x,x,x,x,x,x,x,-,zákaz na celém území;,
Kosmonosy,29306,,4400,1/2016,"kterou se mění Obecně závazná vyhláška č. 1/2015 o opatřeních k zabzpečení místních záležitostí veřejného pořádku při provozování sázkových her, loterií a jiných podobných her",24/2/2016,x,x,x,x,x,x,x,x,,"seznam povolených adres - určeny počty zařízení, mění OZV č. 1/2015",
Kosmonosy,29306,,4400,1/2015,"o opatření k zabezpečení místních záležitostí veřejného pořádku při provozování sázkových her, loterií a jiných podobných her ",14/2/2015,x,x,x,x,x,x,x,x,,seznam povolných adres - určeny počty zařízení,
Kosova Hora,26291,,1289,1/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her",18/5/2012,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Kostelec nad Labem,27713,,3266,3/2010,"o stanovení míst, kde mohou být provozovány výherní hrací přístroje",1/1/2011,x,,,,,,,,,"lze v hernách, v hostincích v souladu s § 17 odst. 8 a 10 zákona podle přílohy OZV;",
Košařiska,73981,,391,2/2010,"o místních poplatcích a o stanovení míst a času, ve kterém mohou být provozovány výherní hrací přístroje",1/1/2011,x,,,,,,,,od 20.00 do zavírací doby pohostinských zařízení,jen v pohostinských zařízeních;,
Kounov,27006,,486,3/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Králíky,56169,,4651,2/2013,"o zákazu sázkových her, loterií a jiných podobných her na celém území města Králíky",1/8/2013,x,x,x,x,x,x,x,x,,"do 31.12.2014 seznam povolených adres, od 1.1.2015 zákaz na celém území;1.8.2013, čl. 1 od 1.1.2015",
Králův Dvůr,26701,,7036,1/2016,"kterou se zrušuje Obecně závazná vyhláška č. 2/2013 - ""O stanovení míst, kde mohou být provozovány loterie a jiné podobné hry"", ze dne 23.09.2013",11/7/2016,,,,,,,,,,zrušuje OZV č. 2/2013,
Kraslice,35801,,,6/2014,o regulaci provozování loterií a jiných obdobných her,12/7/2014,x,x,x,x,x,x,x,x,,seznam povolených adres,
Krásná Lípa,40746,,3644,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",5/4/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Krásné Údolí,36401,,427,2/2013,kterou se stanoví zákaz provozování loterie a jiných podobných her na celém území města Krásné Údolí,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Kravaře,74721,,6815,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/1/2014,x,x,x,x,x,x,x,x,,"zákaz na celém území, zrušuje se OZV 1/2011;",
Krnov,79401,,,1/2014,o regulaci provozování loterií a jiných podobných her,1/9/2015,x,x,x,x,x,x,x,x,,zákaz na celém území,
Kroměříž,76701,,29076,4/2011,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",1/1/2012,x,x,x,x,x,x,x,x,,"zákaz na celém území města, pro VHP až od 1.1.2015;",
Krupka,41741,,13390,1/2013,jíž se upravuje provozování loterijní činnosti na území města,1/1/2014,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Krupka,41741,,13390,5/2011,"kterou se zrušuje OZV č. 3/2010, o stanovení míst a času, ve kterém mohou být provozovány výherní automaty",1/1/2012,,,,,,,,,,ZRUŠUJE SE OZV 3/2010,
Krušovice,27053,,614,4/2012,o úplném zákazu provozování některých loterií a jiných podobných her na celém území obce,1/1/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, ruší předchozí vyhlášku č. 1/2012;",
Křižánky,59202,,359,1/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,,,,,,,,na všech veřejně přístupných místech + ve všech provozovnách v obci;,
Kuks,54443,,256,1/2014,"kterou se mění obecně závazná vyhláška č. 1/2013, o regulaci provozování loterií a jiných podobných her",24/4/2014,x,x,x,x,x,x,x,x,,"mění se OZV č.1/2013 tak, že se zrušuje čl. 2 Přechodné ustanovení;",
Kuks,54443,,256,1/2013,o regulaci provozování loterií a jiných podobných her,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Kunčice pod Ondřejníkem,73912,,2137,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území+přechodňák;,
Kunín,74253,,,1/2012,o zákazu provozování výherních hracích přístrojů a interaktivních videoloterních terminálů na území obce Kunín,11/6/2012,x,,,x,,,,,,zákaz na celém území,
Kunovice,68604,,5568,1/2007,"o stanovení míst a času, ve kterém lze provozovat výherní hrací přístroje",7/5/2007,x,,,,,,,,"""v hernách lze 00:00 - 6:00 a 8:00 - 24:00,v ostatních provozovnách lze 5:30 - 02:00""",seznam povolených adres;,
Kunžak,37862,,,1/2014,o regulaci provozování loterií a jiných podobných her,7/6/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Kutná Hora,28401,,20839,2/2016,o regulaci provozování loterií a jiných podobných her,15/7/2016,,,,,,,,,,ruší a nahrazuje článek 3 OZV č. 9/2015,
Kutná Hora,28401,,20839,9/2015,o regulaci provozování loterií a jiných podobných her,31/12/2015,x,x,x,x,x,x,x,x,14:00 - 24:00 hodin,seznam povolených adres,
Kutná Hora,28401,,20839,3/2013,obecně závazná vyhláška města Kutná Hora č. 3/2013,14/11/2013,x,x,x,x,x,x,x,x,,zrušuje se  OZV č.9/2011;,
Kvasiny,51702,,,1/2014,o regulaci provozování loterií a jiných podobných her,13/6/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Květnice,25084,,,3/2014,o regulaci provozování loterií a jiných podobných her,1/5/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Kyjov,69701,,11698,2/2016,"o regulaci provozování sázkových her, loterií a jiných podobných her na území města Kyjova",30/6/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Kyjov,69701,,11698,5/2015,"o regulaci provozní doby hostinských provozoven, stanovení doby, kdy nelze provozovat sázkové hry podle § 2 a loterie a jiné podobné hry podle § 2 a § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů a umisťování herních zařízení popsaných v § 2 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/1/2016,x,x,x,x,x,x,x,x,od 02:00 do 07:00 hodin,časové omezení,
Kynšperk nad Ohří,35751,,5046,1/2012,"o stanovení míst a času, ve kterých mohou být provozovány výherní hrací přístrojea interaktivní videoloterijní terminály",16/3/2012,x,,,x,,x,,,lze od 10:00 do 22:00,seznam povolených adres;,
Lanškroun,56301,,10222,3/2013,"o zákazu provozování sázkových her, loterií a jiných podobných her na území města Lanškroun",23/5/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, ruší se OZV 6/2007;",
Lázně Bělohrad,50781,,3749,9/2011,"o stanovení míst, na kterých lze provozovat výherní hrací přístroje",30/12/2011,x,,,x,,x,,x,,seznam povolených adres;,
Lázně Bohdaneč,53341,,,2/2015,o zákazu provozování loterií a jiných podobných her na území města ,2/5/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Ledeč nad Sázavou,58401,,5486,4/2012,o regulaci provozování loterií a jiných podobných her,4/1/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Lestkov,34952,,,5/2016,o regulaci provozování loterií a jiných podobných her,19/4/2016,x,x,x,x,x,x,x,x,,provozování povoleno do 500m od obecního úřadu,
Lestkov,34952,,,1/2012,Obecně závazná vyhláška č. 1/2012 o regulaci provozování loterií a jiných podobných her,22/3/2012,x,x,x,x,x,x,x,x,-,jedna povolená adresa;,
Letovice,67961,,6799,4/2015,o regulaci provozování loterií a jiných podobných her,1/1/2016,x,,,x,,x,,,,zákaz na celém území obce,
Lety,39804,,,1/2014,o regulaci provozování loterií a jiných podobných her,29/3/2014,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Libáň,50723,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Libčeves,43926,,927,1/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",21/3/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Libčice nad Vltavou,25266,,3349,1/2015,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Libčice nad Vltavou,25266,,3349,1/2014,"o zrušení obecně závazné vyhlášky č. 1/2013 o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",30/7/2014,,,,,,,,,,"zrušuje OZV č. 1/2013, o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",
Libčice nad Vltavou,25266,,3349,1/2014,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území města",1/1/2014,x,x,x,x,x,x,x,x,,,
Liberec,46001,,102247,2/2015,"kterou se mění Obecně závazná vyhláška statutárního města Liberec č. 2/2014, o stanovení veřejně přístupných míst, na kterých mohou být provozovány některé sázkové hry a loterie a jiné podobné hry",1/4/2015,x,x,x,x,x,x,x,x,,"vypouští přílohu adres k OZV č. 2/2014, doplňuje novou přílohu povolených adres, ruší OZV č. 3/2014",
Liberec,46001,,102247,2/2014,"o stanovení veřejně přístupných míst, na kterých mohou být provozovány některé sázkové hry a loterie a jiné podobné hry",1/6/2014,x,x,x,x,x,x,x,x,,seznam povolených adres,
Libina,78805,,3475,1/2014,"kterou se mění a doplňuje obecně závazná vyhláška č.1/2013, o regulaci provozování loterií  a jiných podobných her",21/3/2014,x,x,x,x,x,x,x,x,,rozšíření seznamu povolených adres v OZV 1/2013,
Libina,78805,,3475,1/2013,o regulaci provozování loterií a jiných podobných her,1/1/2014,x,x,x,x,x,x,x,x,od 0:00 do 24:00h,seznam povolených adres (2 povolené adresy);,
Libkovice pod Řípem,41301,,541,1/2014,"o regulaci provozování sázkových her, loterií a jiných podobných her",7/4/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Libochovice,41002,,3626,1/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",20/3/2012,x,x,x,x,x,x,x,x,"1.1. každého roku zákaz od 4:00-6:00, v So a Ne a dny parc. Klidu zákaz od 2:00 do 6:00, ostatní dny zákaz od 0:00 do 6:00","příloha OZV uvádí místa, kde lze provozovat, vyjma zakázaných časů.;",
Lidečko,75612,,1841,4/2011,"o zákazu provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Lipník nad Bečvou,75131,,,2/2016,"O stanovení míst, na kterých nemohou být provozovány loterie a jiné podobné hry ",31/12/2016,x,x,x,x,x,x,x,x,,seznam zakázaných adres,
Lipov,69672,,,1/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,14/2/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Lipová,40781,,657,6/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Litenčice,76813,,,1/2016,o regulaci provozování loterií a jiných podobných her,9/12/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Litoměřice,41201,,2405,2/2014,"o regulaci provozování sázkových her, loterií a jiných podobných her",2/4/2014,x,x,x,x,x,x,x,x,nelze od 6:00 do 11:00 h,seznam povolených adres; přechodňák; zrušuje se OZV 15/2011;,
Litomyšl,57001,,10231,01/2014,o zákazu provozování loterií a jiných podobných her na území města,12/5/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Litomyšl,57001,,10231,4/2001,O zákazu provozování výherních hracích přístrojů na veřejně přístupných místech v městě Litomyšl,1/11/2011,x,,,,,,,,,seznam zakázaných adres;,
Litovel,78401,,9978,2/2015,"o stanovení míst, na kterých mohou být provozovány loterie a jiné podobné hry",20/10/2015,x,x,x,x,x,x,x,x,,seznam povolených adres + VHP seznam zakázaných adres,
Litvínov,43601,,26241,5/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",25/11/2011,x,x,x,x,x,x,x,x,,zákaz v celém městě;,
Lomnice nad Lužnicí,37816,,1785,2/2011,"o stanovení veřejně přístupných míst, na kterých mohou být provozoványvýherní hrací přístroje včetně interaktivníchvideoloterijních terminálů a jiných přístrojů podobnýchvýherním hracím přístrojům, k jejichž provozu vydává povolení Ministerstvo financí dle § 50 odst. 3 loterijního zákona",1/1/2012,x,,,x,,x,,,,seznam povolených adres (pouze Tyršova ulice);,
Lomnice nad Popelkou,51251,,5815,6/2013,"o stanovení míst a času, ve kterém mohou být provozovány sázkové hry podle § 2 písm. e), g), l), m) a n) a loterie a jiné podobné hry podle § 2 písm. j) a § 50 odst. 3 zákona 202/1990 Sb. o loteriích a jiných podobných hrách ve znění pozdějších předpisů",21/12/2013,x,x,x,x,x,x,x,x,od 16.00 do 24.00,"seznam povolených adres, zrušuje se OZV 3/2012;",
Loučeň,28937,,,1/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území městyse Loučeň,1/7/2015,x,x,x,x,x,x,x,x,,zákaz na celém území městyse,
Louka u Litvínova,43533,,767,1/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",20/8/2012,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Louny,44001,,18680,6/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,zákaz provoz. sázk. her ve měste v době od 6:00 do 19:30,;,
Lovosice,41002,,9016,3/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her ",10/10/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Lubenec,43983,,1538,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",10/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Ludvíkovice,40713,,776,1/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",21/2/2012,x,x,x,x,x,x,x,x,,zákaz na celé území obce;,
Luže,53854,,,1/2014,"jíž se zakazuje na celém území města Luže provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení povolovaná podle § 50 odst. 3 zákona č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/7/2014,x,,,x,,,,x,,Zákaz na celém území města,
Luženičky,34401,,,4/2015,"kterou se stanoví zákaz provozování sázkových her, loterií a jiných podobných her na celém území obce Lužníky",14/7/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Lysá nad Labem,28922,,8755,6/2015,"O určení míst pro provozování výherních hracích přístrojů, pro provozování koncových interaktivních videoloterních terminálů nebo herních míst lokálního herního systému na území města Lysá nad Labem",1/1/2016,x,,,x,,x,,,,seznam povolených adres,
Lysá nad Labem,28922,,8755,6/2011,o určení míst pro provozování výherních hracích přístrojů na území města Lysá naa Labem,25/12/2011,x,,,,,,,,"prac. den + sobota 12:00 - 24:00, neděle + svátky zákaz",seznam povolených adres (změna v OZV 8/2013);,
Lysá nad Labem,28922,,8755,7/2011,o určení míst pro provozování koncových interaktivních videoloterijních terminálů nebo herních míst lokálního herního systému povolených Ministerstvem financí na území města Lysá nad labem,25/12/2011,,,,x,,x,,,"prac. den + sobota 12:00 - 24:00, neděle + svátky zákaz","seznam povolených adres POZOR, platí jen do 31.12.2012 (změna v OZV 8/2013);",
Lysice,67971,,1871,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území městyse,15/9/2012,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Málkov,43001,,,2/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her ",24/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Malšice,39175,,1747,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování elektronicky nebo elektronicko-mechanicky řízených výherních hracích přístrojů nebo podobných zařízení sloužících k provozování sázkových her, včetně interaktivních videoloterijních terminálů zakázáno",26/8/2011,x,,,x,,x,,,,zákaz na všech veřejně přístupných místech;,
Mankovice,74235,,602,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,3/7/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Mariánské Radčice,43532,,,2/2015,"o regulaci provozování sázkových her, lotrerií a jiných podobných her",1/6/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Maršovice,25755,,,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území městyse,8/11/2013,x,x,x,x,x,x,x,x,-,zákaz na celém území ;,
Martínkovice,54973,,,2/2014,o zákazu provozování loterií a jiných podobných her na celém území obce,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Mašovice,66902,,409,1/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",6/10/2011,x,,,x,,x,,,,zákaz na všech veřejně přístupných místech;,
Měcholupy,43931,,1057,3/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Mělník,27601,,19612,4/2015,"Kterou se stanoví místa, na kterých lze provozovat loterie a jiné podobné hry, a kterou se stanoví opatření k omezení jejich propagace",8/4/2015,x,x,x,x,x,x,x,x,,seznam povolných adres,
Měrovice nad Hanou,75142,,,2/2015,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,21/10/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Městec Králové,28903,,2950,2/2013,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území obce",27/9/2013,x,x,x,x,x,x,x,x,od 18:00 do 24:00,"seznam povolených adres + dopis města o opravě adres MF-72902/2013/34, zrušena OZV 1/2005;",
Město Touškov,33033,,2085,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/9/2013,,x,x,x,x,x,x,x,,zákaz na celém území;,
